PC=00000047, SP=fffffff0, A=00000001, B=00000000ldl 00000001
PC=00000048, SP=fffffff0, A=0000003b, B=00000001adj 00000003
PC=00000049, SP=fffffff3, A=0000003b, B=00000001return 
PC=0000003b, SP=fffffff3, A=00000001, B=00000001ldl 00000001
PC=0000003c, SP=fffffff3, A=00000008, B=00000001stl 00000000
PC=0000003d, SP=fffffff3, A=00000001, B=00000001stl 00000001
PC=0000003e, SP=fffffff3, A=00000001, B=00000001ldl 00000003
PC=0000003f, SP=fffffff3, A=00000001, B=00000001call ffffffe4
PC=00000024, SP=fffffff3, A=00000040, B=00000001adj fffffffd
PC=00000025, SP=fffffff0, A=00000040, B=00000001stl 00000001
PC=00000026, SP=fffffff0, A=00000001, B=00000001stl 00000002
PC=00000027, SP=fffffff0, A=00000001, B=00000001ldc 00000001
PC=00000028, SP=fffffff0, A=00000001, B=00000001shl 
PC=00000029, SP=fffffff0, A=00000002, B=00000001ldl 00000003
PC=0000002a, SP=fffffff0, A=00000008, B=00000002sub 
PC=0000002b, SP=fffffff0, A=fffffffa, B=00000002brlz 00000004
PC=00000030, SP=fffffff0, A=fffffffa, B=00000002ldl 00000002
PC=00000031, SP=fffffff0, A=00000001, B=fffffffabrz 00000014
PC=00000032, SP=fffffff0, A=00000001, B=fffffffaldl 00000003
PC=00000033, SP=fffffff0, A=00000008, B=00000001adc ffffffff
PC=00000034, SP=fffffff0, A=00000007, B=00000001stl 00000000
PC=00000035, SP=fffffff0, A=00000001, B=00000001adj ffffffff
PC=00000036, SP=ffffffef, A=00000001, B=00000001ldl 00000001
PC=00000037, SP=ffffffef, A=00000007, B=00000001stl 00000000
PC=00000038, SP=ffffffef, A=00000001, B=00000001ldl 00000003
PC=00000039, SP=ffffffef, A=00000001, B=00000001adc ffffffff
PC=0000003a, SP=ffffffef, A=00000000, B=00000001call ffffffe9
PC=00000024, SP=ffffffef, A=0000003b, B=00000000adj fffffffd
PC=00000025, SP=ffffffec, A=0000003b, B=00000000stl 00000001
